experiment_id,model,block_number,sublayer,bit_width,dataset,baseline_perplexity,measured_perplexity,delta_perplexity,baseline_accuracy,measured_accuracy,accuracy_loss,num_tokens_evaluated,timestamp
profile_Llama-3.2-1B-Instruct_2026-07-14_15-29-32,meta-llama/Llama-3.2-1B-Instruct,0,attention,int8,wikitext2,14.1118,14.115,0.0032,0.5036,0.5072,-0.0036,836,2026-07-14T15:30:57.033091
profile_Llama-3.2-1B-Instruct_2026-07-14_15-29-32,meta-llama/Llama-3.2-1B-Instruct,1,attention,int8,wikitext2,14.1118,14.0724,-0.0394,0.5036,0.5084,-0.0048,836,2026-07-14T15:32:16.970203
profile_Llama-3.2-1B-Instruct_2026-07-14_15-29-32,meta-llama/Llama-3.2-1B-Instruct,2,attention,int8,wikitext2,14.1118,14.1008,-0.011,0.5036,0.506,-0.0024,836,2026-07-14T15:33:47.910022
