timestamp,interval_sec,cpu_mw,gpu_mw,ane_mw,combined_mw,net_cpu_mw,net_gpu_mw,net_ane_mw,compute_mw,cpu_joules,gpu_joules,ane_joules,combined_joules,net_cpu_joules,net_gpu_joules,net_ane_joules,compute_joules,e_cluster_pct,p_cluster_pct,gpu_active_pct,gpu_freq_mhz,thermal
2026-07-07T11:14:57.226845,1.0,2553.0,14.0,0.0,2567.0,2535.0,10.6,0.0,2535.0,2.553,0.014,0.0,2.567,2.535,0.0106,0.0,2.535,0.0,78.55,2.55,338.0,Moderate
2026-07-07T11:14:58.232544,1.0,2600.0,19.0,0.0,2619.0,2582.0,15.6,0.0,2582.0,2.6,0.019,0.0,2.619,2.582,0.0156,0.0,2.582,0.0,80.93,3.87,338.0,Moderate
2026-07-07T11:14:59.238855,1.0,1050.0,23.0,0.0,1073.0,1032.0,19.6,0.0,1032.0,1.05,0.023,0.0,1.073,1.032,0.0196,0.0,1.032,0.0,69.33,4.25,338.0,Moderate
2026-07-07T11:15:00.244242,1.0,2366.0,19.0,7.0,2391.0,2348.0,15.6,7.0,2355.0,2.366,0.019,0.007,2.391,2.348,0.0156,0.007,2.355,0.0,58.45,2.86,338.0,Moderate
2026-07-07T11:15:01.251217,1.0,2451.0,18.0,78.0,2546.0,2433.0,14.6,78.0,2511.0,2.451,0.018,0.078,2.546,2.433,0.0146,0.078,2.511,0.0,49.97,2.96,338.0,Moderate
2026-07-07T11:15:02.257311,1.0,1830.0,17.0,81.0,1928.0,1812.0,13.6,81.0,1893.0,1.83,0.017,0.081,1.928,1.812,0.0136,0.081,1.893,6.01,21.57,3.23,338.0,Moderate
2026-07-07T11:15:03.263476,1.0,3485.0,20.0,152.0,3657.0,3467.0,16.6,152.0,3619.0,3.485,0.02,0.152,3.657,3.467,0.0166,0.152,3.619,0.0,94.49,3.44,338.0,Moderate
2026-07-07T11:15:04.268791,1.0,3237.0,28.0,7.0,3272.0,3219.0,24.6,7.0,3226.0,3.237,0.028,0.007,3.272,3.219,0.0246,0.007,3.226,0.0,91.4,3.77,338.0,Moderate
2026-07-07T11:15:05.274941,1.0,2548.0,18.0,7.0,2573.0,2530.0,14.6,7.0,2537.0,2.548,0.018,0.007,2.573,2.53,0.0146,0.007,2.537,0.0,92.28,3.12,338.0,Moderate
2026-07-07T11:15:06.280685,1.0,2450.0,19.0,7.0,2476.0,2432.0,15.6,7.0,2439.0,2.45,0.019,0.007,2.476,2.432,0.0156,0.007,2.439,0.0,88.05,2.92,338.0,Moderate
