timestamp,interval_sec,cpu_mw,gpu_mw,ane_mw,combined_mw,net_cpu_mw,net_gpu_mw,net_ane_mw,compute_mw,cpu_joules,gpu_joules,ane_joules,combined_joules,net_cpu_joules,net_gpu_joules,net_ane_joules,compute_joules,e_cluster_pct,p_cluster_pct,gpu_active_pct,gpu_freq_mhz,thermal
2026-07-07T10:54:26.994523,1.0,5507.0,12.0,0.0,5519.0,5489.0,8.6,0.0,5489.0,5.507,0.012,0.0,5.519,5.489,0.0086,0.0,5.489,61.35,92.62,2.12,338.0,Nominal
2026-07-07T10:54:27.999090,1.0,5367.0,12.0,0.0,5379.0,5349.0,8.6,0.0,5349.0,5.367,0.012,0.0,5.379,5.349,0.0086,0.0,5.349,42.35,99.77,2.0,338.0,Nominal
2026-07-07T10:54:29.004092,1.0,4764.0,16.0,0.0,4780.0,4746.0,12.6,0.0,4746.0,4.764,0.016,0.0,4.78,4.746,0.0126,0.0,4.746,22.34,71.74,3.22,338.0,Nominal
2026-07-07T10:54:30.010198,1.0,2926.0,14.0,0.0,2940.0,2908.0,10.6,0.0,2908.0,2.926,0.014,0.0,2.94,2.908,0.0106,0.0,2.908,37.54,84.95,2.29,338.0,Nominal
2026-07-07T10:54:31.015766,1.0,3328.0,16.0,0.0,3344.0,3310.0,12.6,0.0,3310.0,3.328,0.016,0.0,3.344,3.31,0.0126,0.0,3.31,9.17,99.67,2.7,338.0,Nominal
2026-07-07T10:54:32.021396,1.0,3508.0,14.0,0.0,3521.0,3490.0,10.6,0.0,3490.0,3.508,0.014,0.0,3.521,3.49,0.0106,0.0,3.49,4.13,82.43,2.3,338.0,Nominal
2026-07-07T10:54:33.027644,1.0,4846.0,0.0,0.0,4846.0,4828.0,0.0,0.0,4828.0,4.846,0.0,0.0,4.846,4.828,0.0,0.0,4.828,0.0,99.93,0.56,338.0,Nominal
2026-07-07T10:54:34.033872,1.0,2582.0,21.0,0.0,2603.0,2564.0,17.6,0.0,2564.0,2.582,0.021,0.0,2.603,2.564,0.0176,0.0,2.564,0.0,27.1,2.91,338.0,Nominal
2026-07-07T10:54:35.040335,1.0,1355.0,16.0,0.0,1371.0,1337.0,12.6,0.0,1337.0,1.355,0.016,0.0,1.371,1.337,0.0126,0.0,1.337,36.69,61.41,1.27,415.0,Nominal
2026-07-07T10:54:36.046780,1.0,1403.0,16.0,0.0,1419.0,1385.0,12.6,0.0,1385.0,1.403,0.016,0.0,1.419,1.385,0.0126,0.0,1.385,0.0,70.54,2.98,338.0,Nominal
2026-07-07T10:54:37.053305,1.0,1300.0,8.0,0.0,1308.0,1282.0,4.6,0.0,1282.0,1.3,0.008,0.0,1.308,1.282,0.0046,0.0,1.282,0.0,65.85,1.27,338.0,Nominal
2026-07-07T10:54:38.058896,1.0,1272.0,8.0,0.0,1280.0,1254.0,4.6,0.0,1254.0,1.272,0.008,0.0,1.28,1.254,0.0046,0.0,1.254,0.0,64.25,1.64,338.0,Nominal
2026-07-07T10:54:39.064697,1.0,1272.0,2.0,0.0,1274.0,1254.0,0.0,0.0,1254.0,1.272,0.002,0.0,1.274,1.254,0.0,0.0,1.254,0.0,64.48,0.64,338.0,Nominal
2026-07-07T10:54:40.076811,1.0,1170.0,3.0,0.0,1173.0,1152.0,0.0,0.0,1152.0,1.17,0.003,0.0,1.173,1.152,0.0,0.0,1.152,0.0,41.36,0.54,338.0,Nominal
2026-07-07T10:54:41.088809,1.0,676.0,2.0,0.0,678.0,658.0,0.0,0.0,658.0,0.676,0.002,0.0,0.678,0.658,0.0,0.0,0.658,0.0,0.0,0.6,807.0,Nominal
2026-07-07T10:54:42.101443,1.0,53.0,6.0,0.0,59.0,35.0,2.6,0.0,35.0,0.053,0.006,0.0,0.059,0.035,0.0026,0.0,0.035,0.0,0.0,0.63,338.0,Nominal
2026-07-07T10:54:43.106204,1.0,178.0,9.0,0.0,187.0,160.0,5.6,0.0,160.0,0.178,0.009,0.0,0.187,0.16,0.0056,0.0,0.16,6.2,0.0,2.04,338.0,Nominal
2026-07-07T10:54:44.111617,1.0,1630.0,41.0,0.0,1671.0,1612.0,37.6,0.0,1612.0,1.63,0.041,0.0,1.671,1.612,0.0376,0.0,1.612,53.4,59.75,6.57,338.0,Nominal
