experiment_id,model,block_number,sublayer,bit_width,dataset,baseline_perplexity,measured_perplexity,delta_perplexity,baseline_accuracy,measured_accuracy,accuracy_loss,num_tokens_evaluated,timestamp
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,0,mlp,int8,wikitext2,14.1118,14.245,0.1332,0.5036,0.506,-0.0024,836,2026-07-08T14:53:01.676836
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,1,mlp,int8,wikitext2,14.1118,14.9915,0.8797,0.5036,0.5012,0.0024,836,2026-07-08T14:54:14.209575
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,2,mlp,int8,wikitext2,14.1118,14.0816,-0.0302,0.5036,0.5048,-0.0012,836,2026-07-08T14:55:29.088510
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,3,mlp,int8,wikitext2,14.1118,14.0695,-0.0423,0.5036,0.506,-0.0024,836,2026-07-08T14:56:44.854660
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,4,mlp,int8,wikitext2,14.1118,14.0706,-0.0412,0.5036,0.5084,-0.0048,836,2026-07-08T14:57:59.252552
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,5,mlp,int8,wikitext2,14.1118,14.1256,0.0138,0.5036,0.506,-0.0024,836,2026-07-08T14:59:13.119777
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,6,mlp,int8,wikitext2,14.1118,14.1418,0.03,0.5036,0.5072,-0.0036,836,2026-07-08T15:00:27.800084
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,7,mlp,int8,wikitext2,14.1118,14.0837,-0.0281,0.5036,0.5012,0.0024,836,2026-07-08T15:01:41.284819
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,8,mlp,int8,wikitext2,14.1118,14.096,-0.0158,0.5036,0.5048,-0.0012,836,2026-07-08T15:02:55.319820
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,9,mlp,int8,wikitext2,14.1118,14.085,-0.0268,0.5036,0.506,-0.0024,836,2026-07-08T15:04:06.037369
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,10,mlp,int8,wikitext2,14.1118,14.0771,-0.0347,0.5036,0.5036,0.0,836,2026-07-08T15:05:20.582603
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,11,mlp,int8,wikitext2,14.1118,14.0827,-0.0291,0.5036,0.5048,-0.0012,836,2026-07-08T15:06:31.143439
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,12,mlp,int8,wikitext2,14.1118,14.058,-0.0538,0.5036,0.5072,-0.0036,836,2026-07-08T15:07:49.547059
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,13,mlp,int8,wikitext2,14.1118,14.1518,0.04,0.5036,0.5012,0.0024,836,2026-07-08T15:09:12.430207
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,14,mlp,int8,wikitext2,14.1118,14.1021,-0.0097,0.5036,0.5072,-0.0036,836,2026-07-08T15:10:41.670398
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,15,mlp,int8,wikitext2,14.1118,14.3263,0.2145,0.5036,0.4988,0.0048,836,2026-07-08T15:12:19.164132
profile_Llama-3.2-1B-Instruct_2026-07-08_14-50-37,meta-llama/Llama-3.2-1B-Instruct,0,mlp,int4,wikitext2,14.1118,169.1491,155.0373,0.5036,0.2069,0.2967,836,2026-07-08T15:46:03.319208
